Condition,Sex,Subject,Leg,Fibre_Area,Circularity
Condition A,M,11,L,1688.022,0.572519654
Condition A,M,11,L,2480.898,0.861594151
Condition A,M,11,L,724.827,0.73747167
Condition A,M,11,L,2239.807,0.76927594
Condition A,M,11,L,3530.419,0.801032733
Condition A,M,11,L,1321.72,0.670355208
Condition A,M,11,L,2798.204,0.791334205
Condition A,M,11,L,1332.219,0.828101251
Condition A,M,11,L,3243.443,0.765734151
Condition A,M,11,L,1134.68,0.590004709
Condition A,M,11,L,3799.507,0.743035382
Condition A,M,11,L,2987.965,0.859107061
Condition A,M,11,L,3077.013,0.685515762
Condition A,M,11,L,1355.939,0.752873664
Condition A,M,11,L,3406.763,0.774297957
Condition A,M,11,L,2084.265,0.76797642
Condition A,M,11,L,1430.21,0.858186685
Condition A,M,11,L,2744.931,0.602045014
Condition A,M,11,L,3201.058,0.743886142
Condition A,M,11,L,2565.28,0.826104376
Condition A,M,11,L,2843.311,0.89794312
Condition A,M,11,L,1035.133,0.853431771
Condition A,M,11,L,4452.006,0.726521937
Condition A,M,11,L,2442.79,0.746726327
Condition A,M,11,L,2181.868,0.719816266
Condition A,M,11,L,3761.788,0.811448156
Condition A,M,11,L,4114.48,0.903552411
Condition A,M,11,L,2190.034,0.797051481
Condition A,M,11,L,4367.236,0.835807907
Condition A,M,11,L,3038.905,0.759484645
Condition A,M,11,L,1431.377,0.668447731
Condition A,M,11,L,985.36,0.903242367
Condition A,M,11,L,2112.652,0.875624141
Condition A,M,11,L,790.932,0.878047996
Condition A,M,11,L,1514.592,0.836321565
Condition A,M,11,L,1010.247,0.82692856
Condition A,M,11,L,544.009,0.819659146
Condition A,M,11,L,2941.303,0.936687367
Condition A,M,11,L,1870.784,0.800135602
Condition A,M,11,L,2253.029,0.801736574
Condition A,M,11,L,589.116,0.633019533
Condition A,M,11,L,2447.845,0.898183849
Condition A,M,11,L,921.587,0.905220599
Condition A,M,11,L,4036.32,0.894626929
Condition A,M,11,L,2047.324,0.806602625
Condition A,M,11,L,3269.886,0.913528386
Condition A,M,11,L,3137.675,0.85046499
Condition A,M,11,L,1539.09,0.892637147
Condition A,M,11,L,2343.243,0.858104442
Condition A,M,11,L,2632.163,0.78265297
Condition A,M,11,L,2629.83,0.833186649
Condition A,M,11,L,2891.918,0.810606403
Condition A,M,11,L,1339.996,0.813832764
Condition A,M,11,L,2650.828,0.852436285
Condition A,M,11,L,2938.192,0.761140991
Condition A,M,11,L,2178.368,0.776118218
Condition A,M,11,L,472.459,0.85541594
Condition A,M,11,L,672.331,0.802652939
Condition A,M,11,L,2863.532,0.745838143
Condition A,M,11,L,1551.922,0.701788369
Condition A,M,11,L,1529.369,0.870434344
Condition A,M,11,L,1745.961,0.724658011
Condition A,M,11,L,3332.102,0.857544316
Condition A,M,11,L,2360.742,0.897123859
Condition A,M,11,L,2270.916,0.915654347
Condition A,M,11,L,2576.167,0.795915453
Condition A,M,11,L,3427.761,0.875880948
Condition A,M,11,L,1348.94,0.85585028
Condition A,M,11,L,1419.711,0.926802853
Condition A,M,11,L,3627.244,0.727497167
Condition A,M,11,L,2843.7,0.858540707
Condition A,M,11,L,3798.34,0.741034553
Condition A,M,11,L,2377.851,0.88625898
Condition A,M,11,L,645.5,0.908300775
Condition A,M,11,L,1263.003,0.861577872
Condition A,M,11,L,1115.237,0.809328906
Condition A,M,11,L,4439.563,0.756444192
Condition A,M,11,L,442.518,0.695282878
Condition A,M,11,L,1714.853,0.881839004
Condition A,M,11,L,1765.793,0.883306028
Condition A,M,11,L,2139.094,0.753028275
Condition A,M,11,L,1295.278,0.910536228
Condition A,M,11,L,3000.02,0.867246218
Condition A,M,11,L,2253.806,0.801313589
Condition A,M,11,L,2676.103,0.833314973
Condition A,M,11,L,1049.132,0.808992928
Condition A,M,11,L,907.2,0.828606819
Condition A,M,11,L,3809.228,0.808935775
Condition A,M,11,L,3416.484,0.866555465
Condition A,M,11,L,2179.924,0.747403089
Condition A,M,11,L,874.147,0.937522903
Condition A,M,11,L,2053.157,0.807832843
Condition A,M,11,L,2275.582,0.802060925
Condition A,M,11,L,2611.942,0.828975568
Condition A,M,11,L,2596.777,0.800012341
Condition A,M,11,L,993.915,0.730337181
Condition A,M,11,L,3086.735,0.780987067
Condition A,M,11,L,2686.214,0.703472595
Condition A,M,11,L,1593.919,0.634697964
Condition A,M,11,L,2579.667,0.788054543
Condition A,M,11,L,1348.162,0.857597719
Condition A,M,11,L,2298.136,0.811858223
Condition A,M,11,L,3561.527,0.851105741
Condition A,M,11,L,285.42,0.925050779
Condition A,M,11,L,942.197,0.918710553
Condition A,M,11,L,2121.984,0.883994457
Condition A,M,11,L,1547.256,0.911636132
Condition A,M,11,L,1476.873,0.812539699
Condition A,M,11,L,2863.921,0.808338341
Condition A,M,11,L,1265.725,0.707563017
Condition A,M,11,L,438.629,0.747970765
Condition A,M,11,L,3108.899,0.876353024
Condition A,M,11,L,2837.478,0.926587662
Condition A,M,11,L,662.999,0.871099461
Condition A,M,11,L,635.001,0.830640231
Condition A,M,11,L,1556.977,0.769480328
Condition A,M,11,L,1675.189,0.76705332
Condition A,M,11,L,3776.564,0.663103611
Condition A,M,11,L,1065.075,0.617366879
Condition A,M,11,L,2184.979,0.894327941
Condition A,M,11,L,1995.995,0.881472408
Condition A,M,11,L,1299.166,0.853514809
Condition A,M,11,L,843.816,0.763795836
Condition A,M,11,L,2105.263,0.881611525
Condition A,M,11,L,1190.287,0.854468843
Condition A,M,11,L,2626.719,0.719449183
Condition A,M,11,L,2753.486,0.802461902
Condition A,M,11,L,2667.937,0.805760488
Condition A,M,11,L,1118.737,0.696361428
Condition A,M,11,L,3521.086,0.744619752
Condition A,M,11,L,1724.574,0.873654731
Condition A,M,11,L,1700.854,0.773491832
Condition A,M,11,L,2579.667,0.818181077
Condition A,M,11,L,1356.328,0.82948551
Condition A,M,11,L,4332.628,0.826312063
Condition A,M,11,L,2160.481,0.857385092
Condition A,M,11,L,1624.638,0.885356846
Condition A,M,11,L,4058.873,0.941821701
Condition A,M,11,L,1966.442,0.718837339
Condition A,M,11,L,1063.131,0.84831799
Condition A,M,11,L,604.67,0.861278929
Condition A,M,11,L,602.726,0.744790418
Condition A,M,11,L,4750.258,0.80820366
Condition A,M,11,L,1927.945,0.754264376
Condition A,M,11,L,623.335,0.609944202
Condition A,M,11,L,2718.877,0.783326125
Condition A,M,11,L,1081.407,0.826547683
Condition A,M,11,L,1135.069,0.894905515
Condition A,M,11,L,1466.374,0.922109698
